,Q1,Q1.5a,Q2,Q2.5a,Q2.5b,Q3,Q4,Q5,Q6,Q7,Q8 (modern)
B116_mean,0.5691837864239335,0.5716514326475725,0.5724965919824714,0.634494489637914,0.5111855464904536,0.5478240449989134,0.530105440412779,0.5125672362286501,0.564214651995615,0.5524774080250265,0.5187806090068957
B117_mean,0.7997291816083476,0.7977310001027353,0.8022932022611565,0.8635327675700718,0.7467681193836796,0.7559840290062894,0.7527743942669926,0.7346406085403091,0.7819966294657533,0.7747368230102386,0.7365666562952226
B118_mean,0.9809051160054866,0.9742321385223937,0.9796454786001272,1.039620598051114,0.9196193440369042,0.951443552042489,0.9236095697065665,0.9066081708701398,0.9600790594719038,0.9502553900476933,0.9089053270833866
B119_mean,1.0720175374386622,1.061755889064875,1.0662055712764282,1.1256034367060277,1.0166084044670298,1.0438093671289828,1.0180195794099336,0.9913746046308662,1.044240378921614,1.0364748416034675,0.9864746766765039
B120_mean,0.9873646929348738,0.9773086154237159,0.9796205933440699,1.035918900643969,0.9324033205187355,0.9646883834942201,0.9367541315858469,0.9063376887531019,0.9632131379498228,0.9493303914280727,0.8971580766610516
B121_mean,0.9624071780995763,0.9556601171171624,0.9580770554009662,1.0164866707202656,0.9054504770318685,0.9506709306739898,0.9141400454387238,0.8866702108672464,0.9421077224084939,0.9262229576031062,0.879381315197705
B122_mean,0.9601264932141884,0.9528281843956822,0.957522833037209,1.0122726936158999,0.9048571804373031,0.9675816323134182,0.9186655044298107,0.887013896301832,0.9424757226483028,0.9278749678123631,0.8799815170406952
B123_mean,0.9958946706342564,0.992076780718704,0.9938515613751879,1.044311199618484,0.9441319779775746,0.991436025682314,0.9684649641100341,0.9218493811793762,0.982318249693753,0.9640209737057204,0.9130663126242367
B124_mean,1.0194738087553215,1.0164798708897855,1.0193029634191375,1.0645222839084019,0.9631079732341267,1.0313397058437208,0.999427040593466,0.9462744520787583,1.0113574054547114,0.9892422731422523,0.9378725373411244
B125_mean,1.0706547402090973,1.065555411565937,1.0740200205743466,1.1185762678355544,1.0119798838515413,1.0894439930952495,1.0484460533406506,1.0005253551888984,1.0631397387244794,1.0420860129975933,0.9919274388973593
B126_mean,1.0870778735536133,1.0856754112320408,1.0869443396689722,1.1269762742688667,1.0371451558839968,1.0823933416502636,1.078365270176539,1.0096972927644017,1.079299178522714,1.0518427906229104,0.996077764551873
B127_mean,1.0839583900669518,1.0845211109269415,1.0837583688394048,1.114438816515683,1.0304348201585891,1.0851999767968419,1.092667405730861,1.0049297625661195,1.0771364698449233,1.0457155126459938,0.987427150904474
B128_mean,1.0695906460447904,1.0671283800157678,1.071350863081053,1.1002535085207035,1.010256334038663,1.0832094078335783,1.0783882740410196,0.9910610270153032,1.0667386072724714,1.0316472456226664,0.9785905348627546
B129_mean,1.0574355790350884,1.0505362960796554,1.0558225650106894,1.0814752925356905,0.9997567328447607,1.0685648582993934,1.0730036212453051,0.9769512780592264,1.0520969118468504,1.0160248497463507,0.9606427400792059
B130_mean,1.0627133454756352,1.0654083720800893,1.0621842158343557,1.0816937070127572,1.00570081840897,1.0693157648692722,1.090742517073632,0.9830078168942095,1.062312499700931,1.0221853264122567,0.9673868033523575
B131_mean,1.0552770482231995,1.0509147120009776,1.0570377836466223,1.0756855435145904,0.9973230722144711,1.0888005463413077,1.0882840988801539,0.9809578997441181,1.061767039344142,1.020467017448644,0.967549891512087
B132_mean,1.0850200106481565,1.0859329927191141,1.0889228014968821,1.111761975670775,1.0331187406195428,1.1116379845959001,1.121684864674311,1.013889707613997,1.0932201232378245,1.0543426471302595,1.0033571132686914
B133_mean,1.0756376052200032,1.0756309292361421,1.0823886711197144,1.0987342103246942,1.0328932846505363,1.1090879253062609,1.1181016888058783,1.0116645572606604,1.086521341001257,1.0514007324468517,1.0038540072118862
B134_mean,1.0954566374540695,1.0931222563848044,1.098234601517058,1.1237186962433083,1.0527257219107258,1.1328085188216699,1.1376343267122044,1.0345151953358376,1.1041236730238873,1.071646794344288,1.0295414270687278
B135_mean,1.0803953515481137,1.0802857079179224,1.0862431679937439,1.1131426186587485,1.0458800019515742,1.1306903869365832,1.1209700134476461,1.0322140184171553,1.0991404134936595,1.06876254080253,1.0309411305421396
B136_mean,1.1033458265652112,1.1013152750825959,1.1081694542350558,1.1353764343067199,1.0714042041944039,1.1569813793321235,1.1392072594452696,1.0594553208482953,1.1212344331594641,1.0925123344452212,1.062942383525296
B137_mean,1.1142515984928072,1.1184707702083378,1.1262367872034746,1.1541431985551767,1.0915638763417346,1.1731349940743339,1.1518435501382476,1.079269798590979,1.1401331100736523,1.1154369529663004,1.091195203181346
B138_mean,1.1526218807774777,1.1489871668097045,1.1567572753777278,1.1915922578365474,1.1304375405077565,1.214187463979137,1.1825651076083572,1.1189584398015595,1.1761906125981005,1.156714434599626,1.1387237710799014
B139_mean,1.1753363373237458,1.1740575197965595,1.1856976953634013,1.2151302048891872,1.1568932237790897,1.2245562009383695,1.2067445538938992,1.1538393027743217,1.2038604864823161,1.1900382958610012,1.1690531950309053
