,Q1,Q1.5a,Q2,Q2.5a,Q2.5b,Q3,Q4,Q5,Q6,Q7,Q8 (modern)
B107_mean,-0.7126945433795664,0.6421115906754729,1.0916596703377515,-3.9834823708165383,-1.637163640991624,-2.236633437858871,2.0930069661767075,-0.5829844819976314,1.8100754704375361,1.7843502118399694,-1.234247913907513
B108_mean,5.835496752277793,3.8760999921978287,4.366909531956833,1.8314466138774639,4.577221824920008,-3.784904975654435,4.092713831364383,0.019580177177490988,3.063904294405549,2.6372162589969825,-2.730933184103677
B109_mean,-0.3612089199916713,0.2688876337345994,1.0348052577378728,-1.0903027048073919,-1.2702329996262902,5.787207503104302,1.022356548386874,-1.6600482715893332,1.5760268870936658,-2.3549957502685412,-1.615634327902686
B110_mean,0.32951660791437637,0.9027854794501431,1.161253337554387,-0.3149390826807306,-0.48906713181091627,1.0135672728141263,1.049578567567148,-0.9433671477263704,1.2484527327776802,-0.9616296047902064,-1.0191434871581169
B111_mean,0.542216501295141,0.9378951681728792,0.9421568485908625,0.004177477337903061,0.0027384863153644082,0.9379465810903206,0.9437768413836125,-1.0054406493259307,1.0651847402990229,-0.4950892768895527,-0.9737880031945362
B112_mean,-0.13212767579812987,0.2993897746698575,0.46845745325196153,-0.030621736738542765,-0.8972881075780949,1.5196815569187077,0.3634410805690602,-0.8152415344714921,0.7134479198148839,-0.5110998762947616,-0.5577863158335866
B113_mean,0.8511762416289087,0.5696325923804396,0.39973280461236943,1.4832971015964036,0.618366697701671,-0.7364147919305928,0.1864266540696828,-0.19138502610868893,0.21509751472372732,0.39500874027195676,-0.20939612824116113
B114_mean,0.8742981660087443,0.6311993941839488,0.42151661188060546,1.2524831913078573,0.6484661141345891,-0.5894372028111342,0.28581121576918755,-0.2834111309290448,0.31568087507030906,0.3531902199293836,-0.3211548579141729
B115_mean,0.4416948881769878,0.3333029666459143,0.19947338174200482,1.1491374680085933,0.06431685039561638,-0.024466774161325915,0.05283249408507078,-0.4609049479175746,0.15145310118211244,0.10070687020225726,-0.15613955654232287
B116_mean,0.32225255278574205,0.23944049680213994,0.11877035055194025,1.162027094942655,-0.12361223262088569,0.08332545521941664,-0.09676255996121057,-0.3717791691299223,0.05634643741311053,0.18828922833265704,-0.03121836781032359
B117_mean,0.4509803301043218,0.3034274944342737,0.20348960404766686,1.2463882020940205,0.04238729731342467,0.07152446755839703,-0.05950862828695345,-0.2862003884362415,0.07564879141021001,0.2624872804379921,-0.037442407405294385
B118_mean,0.5132973106437028,0.35658572960319884,0.20151673834832118,1.304111686497217,0.062327932351432414,0.15500548877644674,-0.06424001384700455,-0.3797177778938347,0.06719155724394574,0.22080601851894943,-0.04685557240023142
B119_mean,0.5843951962218998,0.4141929676055552,0.20520821771011652,1.3756980455884813,0.17969236486225473,0.1702356903000747,-0.037559124608341175,-0.4206987091244211,0.042880948220538145,0.22388947887723987,-0.07103362841272705
B120_mean,0.6043568939235419,0.4361074936994819,0.1974504913184962,1.3831985438486474,0.19532755940079116,0.18470385420948449,-0.03358532096654319,-0.4420324561493072,0.0573145840687686,0.20273057992378687,-0.0831782302543892
B121_mean,0.5613142041149242,0.4224371022135318,0.18991870859049867,1.3836307395208935,0.14260319167474894,0.21910004780200612,-0.04147308564483077,-0.433743011884187,0.05328673848412233,0.1567677027879291,-0.07267471261066556
B122_mean,0.5413194268546371,0.432478011966551,0.1646565710928,1.393271232301269,0.14525934491125098,0.26928025591732474,-0.03927800795227798,-0.5041008971753435,0.01887333994398769,0.13691484311925362,-0.06659785576796237
B123_mean,0.5606551650741601,0.464635029297964,0.18096937598231147,1.3763627404694727,0.1891525511630385,0.21744969474876344,0.0057389102019669395,-0.4852113857490174,0.05935141335323638,0.1751767316831605,-0.07147507823808215
B124_mean,0.5337701218820263,0.46549048184131453,0.16299581154675252,1.34011908277022,0.13962674118872603,0.27003946470438855,0.014081224031206922,-0.5466750811014768,0.059227002874821855,0.12537364537494675,-0.08108351645813221
