Age,dO18,1std
618,0.14,0.49
619,0.13,0.49
620,0.12,0.51
621,0.12,0.55
622,0.13,0.61
623,0.13,0.68
624,0.07,0.69
625,-0.01,0.64
626,-0.1,0.59
627,-0.16,0.55
628,-0.19,0.55
629,-0.22,0.54
630,-0.3,0.5
631,-0.38,0.46
632,-0.43,0.45
633,-0.47,0.42
634,-0.52,0.36
635,-0.57,0.31
636,-0.61,0.32
637,-0.63,0.36
638,-0.62,0.38
639,-0.59,0.31
640,-0.52,0.26
641,-0.47,0.36
642,-0.58,0.19
643,-0.59,0.2
644,-0.57,0.17
645,-0.52,0.08
646,-0.49,0.12
647,-0.46,0.16
648,-0.47,0.15
649,-0.52,0.16
650,-0.58,0.23
651,-0.6,0.23
652,-0.6,0.23
653,-0.58,0.22
654,-0.56,0.21
655,-0.52,0.19
656,-0.48,0.18
657,-0.46,0.17
658,-0.46,0.16
659,-0.45,0.12
660,-0.44,0.08
661,-0.43,0.07
662,-0.42,0.07
663,-0.43,0.08
664,-0.44,0.08
665,-0.44,0.09
666,-0.42,0.1
667,-0.4,0.13
668,-0.4,0.15
669,-0.39,0.16
670,-0.39,0.17
671,-0.39,0.19
672,-0.38,0.21
673,-0.36,0.21
674,-0.31,0.24
675,-0.28,0.3
676,-0.28,0.35
677,-0.27,0.35
678,-0.24,0.35
679,-0.22,0.35
680,-0.22,0.36
681,-0.23,0.37
682,-0.24,0.39
683,-0.22,0.39
684,-0.19,0.38
685,-0.14,0.36
686,-0.1,0.34
687,-0.08,0.35
688,-0.05,0.38
689,-0.04,0.4
690,-0.02,0.41
691,0.01,0.4
692,0.08,0.38
693,0.14,0.38
694,0.19,0.38
695,0.28,0.31
696,0.33,0.25
697,0.33,0.28
698,0.32,0.33
699,0.35,0.32
700,0.38,0.28
701,0.41,0.27
702,0.42,0.27
703,0.4,0.26
704,0.37,0.25
705,0.34,0.24
706,0.31,0.25
707,0.28,0.27
708,0.25,0.28
709,0.23,0.29
710,0.19,0.3
711,0.14,0.3
712,0.09,0.31
713,0.05,0.32
714,0.04,0.33
715,0.01,0.33
716,-0.01,0.32
717,-0.03,0.29
718,-0.05,0.27
719,-0.07,0.25
720,-0.1,0.24
721,-0.12,0.23
722,-0.14,0.23
723,-0.15,0.23
724,-0.17,0.23
725,-0.19,0.22
726,-0.2,0.19
727,-0.22,0.19
728,-0.22,0.23
729,-0.2,0.22
730,-0.17,0.22
731,-0.14,0.24
732,-0.11,0.25
733,-0.07,0.26
734,-0.02,0.25
735,0,0.18
736,0.02,0.14
737,0.04,0.17
738,0.02,0.22
739,0.01,0.22
740,0.01,0.21
741,0.02,0.2
742,0.01,0.2
743,-0.01,0.17
744,-0.03,0.15
745,-0.03,0.11
746,-0.03,0.08
747,-0.05,0.09
748,-0.08,0.11
749,-0.1,0.12
750,-0.13,0.12
751,-0.16,0.13
752,-0.17,0.16
753,-0.17,0.18
754,-0.18,0.19
755,-0.2,0.19
756,-0.22,0.19
757,-0.23,0.18
758,-0.22,0.18
759,-0.19,0.21
760,-0.17,0.22
761,-0.19,0.21
762,-0.2,0.22
763,-0.17,0.22
764,-0.15,0.22
765,-0.13,0.21
766,-0.09,0.18
767,-0.03,0.19
768,0.01,0.17
769,0.05,0.17
770,0.07,0.18
771,0.1,0.19
772,0.14,0.18
773,0.16,0.19
774,0.16,0.21
775,0.16,0.22
776,0.18,0.22
777,0.24,0.21
778,0.3,0.2
779,0.36,0.2
780,0.42,0.21
781,0.46,0.21
782,0.48,0.2
783,0.5,0.16
784,0.5,0.12
785,0.51,0.09
786,0.53,0.1
787,0.54,0.12
788,0.53,0.14
789,0.51,0.16
790,0.48,0.19
791,0.46,0.24
792,0.41,0.28
793,0.34,0.3
794,0.26,0.31
795,0.19,0.31
796,0.1,0.31
797,0,0.32
798,-0.09,0.34
799,-0.14,0.35
800,-0.16,0.34
801,-0.19,0.33
802,-0.22,0.32
803,-0.25,0.28
804,-0.27,0.22
805,-0.29,0.17
806,-0.31,0.13
807,-0.29,0.12
808,-0.29,0.14
809,-0.3,0.18
810,-0.29,0.2
811,-0.26,0.22
812,-0.23,0.25
813,-0.19,0.26
814,-0.14,0.23
815,-0.09,0.21
816,-0.04,0.19
817,0.01,0.19
818,0.04,0.17
819,0.08,0.14
820,0.16,0.11
821,0.24,0.12
822,0.31,0.16
823,0.35,0.18
824,0.36,0.19
825,0.37,0.16
826,0.39,0.14
827,0.4,0.14
828,0.38,0.13
829,0.33,0.11
830,0.26,0.11
831,0.22,0.15
832,0.22,0.21
833,0.26,0.17
834,0.28,0.12
835,0.26,0.12
836,0.24,0.13
837,0.25,0.14
838,0.3,0.15
839,0.33,0.15
840,0.34,0.16
841,0.32,0.19
842,0.3,0.23
843,0.28,0.27
844,0.29,0.26
845,0.31,0.28
846,0.31,0.3
847,0.32,0.31
848,0.4,0.15
849,0.41,0.13
850,0.43,0.12
851,0.45,0.11
852,0.47,0.12
853,0.46,0.18
854,0.42,0.26
855,0.43,0.26
856,0.44,0.25
857,0.46,0.19
858,0.49,0.14
859,0.48,0.18
860,0.41,0.23
861,0.33,0.29
